question_id,local_test_id,question_hash,test_question,gold_answer,pred_answer,pred_train_idx,top3_train_indices,top3_answers,top3_q_sims,top3_morph_sims,top3_rerank_scores,top3_ans_cos,Exact,Top3ExactHit,TokenF1,QSim,MorphSim,RerankScore,AnsCos,SemHit,Recall3,MRR3,BERTScoreF1,exact_ft_femseg_mapp,top3_ft_femseg_mapp,semantic_ft_femseg_mapp,recall3_ft_femseg_mapp,tokenf1_ft_femseg_mapp,meancos_ft_femseg_mapp,mrr3_ft_femseg_mapp,bertscore_ft_femseg_mapp
21361,0,753547567877,Tuple unpacking және enumerate() арқылы индекспен шығару мысалы?,"enumerate() қайтарған мәндерді unpacking арқылы бөлуге болады. ```python for idx, val in enumerate(['apple', 'banana']): print(idx, val) ```","enumerate() нәтижесін unpacking көмегімен бөлуге болады. ```python for i, val in enumerate(['a', 'b']): print(i, val) ```",16916,"[16916, 42887, 18351]","[""enumerate() нәтижесін unpacking көмегімен бөлуге болады. ```python for i, val in enumerate(['a', 'b']): print(i, val) ```"", ""enumerate() бастапқы индекс беріп, unpacking жасауға болады. ```python for idx, val in enumerate(['a', 'b'], start=5): print(idx, val) ```"", ""enumerate() нәтижесіндегі индекс пен әріпті unpacking арқылы бөлу. ```python for i, ch in enumerate('Hi'): print(i, ch) ```""]","[0.9867050647735596, 0.946273922920227, 0.8612710237503052]","[0.90718954248366, 0.6525, 0.6715311004784689]","[0.9503527942603709, 0.8914694000720977, 0.8615743582203057]","[0.9292572736740112, 0.8953279852867126, 0.8061831593513489]",0.0,0.0,0.628571428570929,0.9867050647735596,0.9071895480155945,0.9503527879714966,0.9292572736740112,1.0,1.0,1.0,0.9050298929214478,0.0,0.0,1.0,1.0,0.628571428570929,0.9867050647735596,1.0,0.9050298929214478
7708,1,146832892934,Функция арқылы мәтіндегі барлық санды символдарды алып тастау мысалы.,"Мысал: ```python def san_zhok(m): return ''.join(x for x in m if not x.isdigit()) print(san_zhok(""code123"")) ```","`re.sub()` қолданып: ```python import re with open('numbers.txt', 'r') as f: text = re.sub(r'\d', '', f.read()) print(text) ```",37901,"[37901, 14375, 43431]","[""`re.sub()` қолданып: ```python import re with open('numbers.txt', 'r') as f: text = re.sub(r'\\d', '', f.read()) print(text) ```"", ""Мысал: ```python def dauyssyz(m): return ''.join(x for x in m if x.lower() not in 'аеёиоуыіүұө') print(dauyssyz(\""бағдарлама\"")) ```"", ""re.sub() арқылы сандардан басқа символдарды өшіруге болады. ```python import re text = 'Тел: +7(701)123-45-67' clean = re.sub(r'\\D', '', text) print(clean) ```""]","[0.746550440788269, 0.7329187989234924, 0.7041674256324768]","[0.7133333333333334, 0.47105263157894733, 0.3412698412698413]","[0.7737546175301075, 0.7397106916873079, 0.7148537469903627]","[0.14417970180511475, 0.6824867129325867, 0.243876650929451]",0.0,0.0,0.09302325581345376,0.746550440788269,0.7133333086967468,0.7737545967102051,0.14417970180511475,0.0,0.0,0.0,0.7583511471748352,0.0,0.0,0.0,0.0,0.09302325581345376,0.746550440788269,0.0,0.7583511471748352
39262,2,283965131369,FileNotFoundError кезінде Google Bigtable-ден дерек алу мысалы?,google.cloud.bigtable модулін қолданамыз. ```python from google.cloud import bigtable try: open('bigtable.txt') except FileNotFoundError: client = bigtable.Client(admin=True) instance = client.instance('my-instance') table = instance.table('my-table') row = table.read_row(b'row-key') print(row) ```,"google.cloud.bigquery модулін қолданамыз. ```python from google.cloud import bigquery try: open('query.csv') except FileNotFoundError: client = bigquery.Client() rows = client.query('SELECT name FROM dataset.table LIMIT 5').result() with open('query.csv', 'w') as f: for row in rows: f.write(row.name + '\n') ```",280,"[280, 44009, 5464]","[""google.cloud.bigquery модулін қолданамыз. ```python from google.cloud import bigquery try: open('query.csv') except FileNotFoundError: client = bigquery.Client() rows = client.query('SELECT name FROM dataset.table LIMIT 5').result() with open('query.csv', 'w') as f: for row in rows: f.write(row.name + '\\n') ```"", ""pymongo модулін қолданамыз. ```python from pymongo import MongoClient try: open('mongo.json') except FileNotFoundError: client = MongoClient('mongodb://localhost:27017/') db = client['test'] print(list(db['users'].find().limit(5))) ```"", ""couchdb модулін қолданамыз. ```python import couchdb try: open('couch.json') except FileNotFoundError: server = couchdb.Server('http://127.0.0.1:5984/') db = server['mydb'] for id in db: print(db[id]) ```""]","[0.8049189448356628, 0.6607882976531982, 0.6259812712669373]","[0.5403846153846155, 0.65625, 0.65625]","[0.8114840568441611, 0.7859655267000198, 0.7675277432799339]","[0.8147522211074829, 0.5554711818695068, 0.6092208623886108]",0.0,0.0,0.43181818181768417,0.8049189448356628,0.5403845906257629,0.8114840388298035,0.8147522211074829,0.0,0.0,0.0,0.7826027870178223,0.0,0.0,0.0,0.0,0.43181818181768417,0.8049189448356628,0.0,0.7826027870178223
45771,3,719725664077,Callable арқылы сигнал-слот үлгісі: слот — callable.,"Тіркелген барлық слоттарды бір шақыруда орындау. `python class Signal: def __init__(self): self.slots=[] def connect(self, slot): self.slots.append(slot) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig = Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `","Барлық тіркелген слоттар бірінен соң бірі орындалады. `python class Signal: def __init__(self): self.slots=[] def connect(self, f): self.slots.append(f) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig=Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `",23553,"[23553, 44968, 467]","[""Барлық тіркелген слоттар бірінен соң бірі орындалады. `python class Signal: def __init__(self): self.slots=[] def connect(self, f): self.slots.append(f) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig=Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `"", ""Лимиттен асса None қайтарады. `python class Buffer: def __init__(self, cap): self.cap=cap; self.q=[] def __call__(self, x): if len(self.q)>=self.cap: return None self.q.append(x); return x b=Buffer(2); print(b(1), b(2), b(3)) `"", ""Слоттарды басқару мүмкін. `python class Signal: def __init__(self): self.s=[] def connect(self,f): self.s.append(f) def detach(self,f): self.s.remove(f) def __call__(self, x): return [h(x) for h in list(self.s)] sig=Signal(); fn=lambda x:x+1 sig.connect(fn); print(sig(1)); sig.detach(fn) `""]","[0.9021559357643127, 0.6263635158538818, 0.7993175387382507]","[0.2717171717171717, 0.2717171717171717, 0.12863636363636363]","[0.7857807119470654, 0.6918379159551677, 0.6869507367740978]","[0.9744309186935425, 0.6570380926132202, 0.5193672180175781]",0.0,0.0,0.8785046728966963,0.9021559357643127,0.2717171609401703,0.7857807278633118,0.9744309186935425,1.0,1.0,1.0,0.9695311784744263,0.0,0.0,1.0,1.0,0.8785046728966963,0.9021559357643127,1.0,0.9695311784744263
21886,4,231549774183,Set құрамын regex арқылы табылған барлық сөздерден құру мысалы.,"re.findall() көмегімен сөздерді табамыз. ```python import re text = 'Hello world, hello Python' words = set(re.findall(r'\w+', text.lower())) print(words) ```","re.findall() көмегімен әріптерді табамыз. ```python import re text = ""Hello 123 World"" letters = set(re.findall(r'[A-Za-z]', text)) print(letters) ```",39128,"[39128, 9813, 41046]","[""re.findall() көмегімен әріптерді табамыз. ```python import re text = \""Hello 123 World\"" letters = set(re.findall(r'[A-Za-z]', text)) print(letters) ```"", ""`\\b(\\w+)\\s+\\1\\b` үлгісі қолданылады. ```python import re text = 'Бұл бұл жақсы мысал' print(re.findall(r'\\b(\\w+)\\s+\\1\\b', text, re.IGNORECASE)) ```"", ""re.findall() арқылы сандарды табамыз. ```python import re text = \""Мәтінде 123 және 456 бар\"" numbers = set(re.findall(r'\\d+', text)) print(numbers) # {'123', '456'} ```""]","[0.715314507484436, 0.8021124601364136, 0.6586988568305969]","[0.7674641148325358, 0.39166666666666666, 0.6016042780748663]","[0.8319163112417932, 0.7761198127865792, 0.7646702476236271]","[0.7800482511520386, 0.6547855138778687, 0.5492886304855347]",0.0,0.0,0.6956521739125434,0.715314507484436,0.7674641013145447,0.831916332244873,0.780048131942749,0.0,0.0,0.0,0.9065276980400085,0.0,0.0,0.0,0.0,0.6956521739125434,0.715314507484436,0.0,0.9065276980400085
23779,5,222549161264,symmetric_difference() әдісі case-sensitive ме?,"Иә, жолдық мәндерде регистр айырмашылығы ескеріледі. ```python A = {""Python"", ""java""} B = {""python"", ""Java""} print(A.symmetric_difference(B)) ```","Жоқ, бұл әдіс жаңа жиын қайтарады, бастапқы жиын өзгермейді. ```python A = {1, 2} B = {2, 3} C = A.symmetric_difference(B) print(A) # {1, 2} print(C) # {1, 3} ```",1803,"[1803, 3218, 18838]","[""Жоқ, бұл әдіс жаңа жиын қайтарады, бастапқы жиын өзгермейді. ```python A = {1, 2} B = {2, 3} C = A.symmetric_difference(B) print(A) # {1, 2} print(C) # {1, 3} ```"", ""Жоқ, symmetric_difference() жаңа жиынды қайтарады, бастапқы жиын өзгермейді. ```python s1 = {1, 2} s2 = {2, 3} res = s1.symmetric_difference(s2) print(s1) # {1, 2} ```"", ""Бұл әдіс екі set арасындағы ерекше элементтерді қайтарады: ```python a = {1, 2, 3} b = {3, 4, 5} print(a.symmetric_difference(b)) # {1, 2, 4, 5} ```""]","[0.7852193713188171, 0.7852193713188171, 0.7682752013206482]","[0.48857142857142855, 0.48857142857142855, 0.39166666666666666]","[0.7636213872790336, 0.7578656051516532, 0.7467504868507385]","[0.6753845810890198, 0.6716662645339966, 0.42588019371032715]",0.0,0.0,0.340425531914421,0.7852193713188171,0.488571435213089,0.7636213898658752,0.6753845810890198,0.0,0.0,0.0,0.7504640817642212,0.0,0.0,0.0,0.0,0.340425531914421,0.7852193713188171,0.0,0.7504640817642212
2767,6,937270013736,tuple() және set() айырмашылығы неде?,"tuple() — ретті, өзгермейтін; set() — ретті емес, қайталанбайтын, өзгеретін жиын. ```python print(tuple([1, 2, 2])) # (1, 2, 2) print(set([1, 2, 2])) # {1, 2} ```","tuple өзгермейтін тип, сондықтан set ішінде қолдануға жарайды. ```python coords = [(1,2), (3,4), (1,2)] unique = set(coords) print(unique) # {(1, 2), (3, 4)} ```",30461,"[30461, 32260, 5413]","[""tuple өзгермейтін тип, сондықтан set ішінде қолдануға жарайды. ```python coords = [(1,2), (3,4), (1,2)] unique = set(coords) print(unique) # {(1, 2), (3, 4)} ```"", ""List элементтерінің реті сақталады және қайталануы мүмкін, ал set ретсіз және қайталанбайды: ```python lst = [1, 1, 2] st = {1, 1, 2} print(lst) # [1, 1, 2] print(st) # {1, 2} ```"", ""set ретті емес, сондықтан кортеж реттілігі де кепілденбейді. ```python s = {4, 2, 3} t = tuple(s) print(t) ```""]","[0.9030568599700928, 0.6800448894500732, 0.861449658870697]","[0.48857142857142855, 0.7133333333333334, 0.3025]","[0.8432486672163009, 0.7943918989181518, 0.7892640981912613]","[0.8004573583602905, 0.594642162322998, 0.8168013095855713]",0.0,0.0,0.4799999999995,0.9030568599700928,0.488571435213089,0.8432486653327942,0.800457239151001,0.0,0.0,0.0,0.7884067893028259,0.0,0.0,0.0,0.0,0.4799999999995,0.9030568599700928,0.0,0.7884067893028259
41599,7,917366587593,Әдісте round-ты банк округтеуімен қолдану.,"round(…, ndigits) дәлдікпен дөңгелектейді. ```python class Price: def cents(self, v): return round(v, 2) ```","round — санды дөңгелектейді. ```python class Math: def r(self, num): return round(num, 2) print(Math().r(3.14159)) ```",36330,"[36330, 42889, 1570]","[""round — санды дөңгелектейді. ```python class Math: def r(self, num): return round(num, 2) print(Math().r(3.14159)) ```"", ""`round()` ондық мәндерді дөңгелектейді: ```python class Math: def rounded(self, number): return round(number, 2) ```"", ""```python payments = [1250, 3425, 7890] print([round(p, -2) for p in payments]) ```""]","[0.8759898543357849, 0.7382927536964417, 0.7982467412948608]","[0.17063492063492064, 0.13585858585858585, 0.0]","[0.7416178472836813, 0.7000210771849662, 0.6849778580665588]","[0.8389750123023987, 0.82627934217453, 0.6296526193618774]",0.0,0.0,0.5294117647053892,0.8759898543357849,0.170634925365448,0.7416178584098816,0.8389749526977539,0.0,0.0,0.0,0.8575102090835571,0.0,0.0,0.0,0.0,0.5294117647053892,0.8759898543357849,0.0,0.8575102090835571
44397,8,38133090752,repr() функциясының нәтижесін файлға жазу мысалы.,"Бұл логтауға пайдалы әдіс. ```python with open('log.txt','w') as f: data = [1,2,3] f.write(repr(data)) ```","repr() арқылы объект күйін көрнекі шығарып, Pandas кестесіне қосуға болады. ```python import pandas as pd class Model: def __init__(self,id): self.id=id def __repr__(self): return f""Model(id={self.id})"" df=pd.DataFrame({'objects':[Model(i) for i in range(3)]}) print(df) ```",33026,"[33026, 30344, 26530]","[""repr() арқылы объект күйін көрнекі шығарып, Pandas кестесіне қосуға болады. ```python import pandas as pd class Model: def __init__(self,id): self.id=id def __repr__(self): return f\""Model(id={self.id})\"" df=pd.DataFrame({'objects':[Model(i) for i in range(3)]}) print(df) ```"", ""repr(obj) объекттің **repr** нәтижесін қайтарады. Бұл логқа жазу мен диагностикаға пайдалы. `python nums = [1, 2, 3] print(repr(nums)) # '[1, 2, 3]' `"", ""Көпжолды форматта әр өрісті жеке қатарға шығару оқылымды арттырады. ```python class Config: def __init__(self, **kw): self.data=kw def __repr__(self): lines='\\n'.join(f' {k}={v!r}' for k,v in self.data.items()) return f\""Config(\\n{lines}\\n)\"" ```""]","[0.6289376020431519, 0.7071987986564636, 0.6672526001930237]","[0.5583333333333333, 0.2897727272727273, 0.345]","[0.7553089684844017, 0.7279565607688644, 0.7146687769412994]","[0.483917236328125, 0.6582632660865784, 0.5250916481018066]",0.0,0.0,0.15151515151472914,0.6289376020431519,0.5583333373069763,0.755308985710144,0.483917236328125,0.0,0.0,0.0,0.6962472796440125,0.0,0.0,0.0,0.0,0.15151515151472914,0.6289376020431519,0.0,0.6962472796440125
35337,9,432470778813,CSV файлына бірден бірнеше жолды жазу мысалын көрсетіңіз.,"Бірнеше жолды жазу үшін `writerows()` қолданылады. ```python import csv data = [['ID', 'Өнім'], [1, 'Телефон'], [2, 'Ноутбук'], [3, 'Планшет']] with open('products.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerows(data) ```","`writerows` функциясын қолданамыз: ```python import csv data = [['Али', 25], ['Асел', 30]] with open('data.csv', 'w', newline='') as f: writer = csv.writer(f) writer.writerows(data) ```",15427,"[15427, 2503, 35467]","[""`writerows` функциясын қолданамыз: ```python import csv data = [['Али', 25], ['Асел', 30]] with open('data.csv', 'w', newline='') as f: writer = csv.writer(f) writer.writerows(data) ```"", ""Бірнеше жол жазу үшін `writerows()` әдісін қолданамыз. ```python import csv data = [['Аты', 'Жасы'], ['Марат', 20], ['Алия', 22]] with open('people.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerows(data) ```"", ""Сандарды жеке жолдармен жаза аламыз. ```python import csv data = [[1], [2], [3]] with open('numbers_list.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerows(data) ```""]","[0.9327508211135864, 0.9282962679862976, 0.8252149820327759]","[0.6525, 0.45999999999999996, 0.47671568627450983]","[0.8640820284128189, 0.8319037437796593, 0.8007119773766573]","[0.8562055826187134, 0.9615079164505005, 0.8251962661743164]",0.0,0.0,0.6129032258059646,0.9327508211135864,0.6524999737739563,0.8640820384025574,0.8562055826187134,1.0,1.0,1.0,0.8155667781829834,0.0,0.0,1.0,1.0,0.6129032258059646,0.9327508211135864,1.0,0.8155667781829834
