question_id,local_test_id,question_hash,test_question,gold_answer,pred_answer,pred_train_idx,top3_train_indices,top3_answers,top3_q_sims,top3_morph_sims,top3_rerank_scores,top3_ans_cos,QSim,MorphSim,RerankScore,Exact,Top3ExactHit,TokenF1,AnsCos,SemHit,Recall3,MRR3,BERTScoreF1,exact_femseg_mapp,top3_femseg_mapp,semantic_femseg_mapp,recall3_femseg_mapp,tokenf1_femseg_mapp,meancos_femseg_mapp,mrr3_femseg_mapp,bertscore_femseg_mapp
21361,0,d048b2c2b21cde6a9a76620ec11bd800,Tuple unpacking және enumerate() арқылы индекспен шығару мысалы?,"enumerate() қайтарған мәндерді unpacking арқылы бөлуге болады. ```python for idx, val in enumerate(['apple', 'banana']): print(idx, val) ```","enumerate() нәтижесін unpacking көмегімен бөлуге болады. ```python for i, val in enumerate(['a', 'b']): print(i, val) ```",16916,"[16916, 42887, 39547]","[""enumerate() нәтижесін unpacking көмегімен бөлуге болады. ```python for i, val in enumerate(['a', 'b']): print(i, val) ```"", ""enumerate() бастапқы индекс беріп, unpacking жасауға болады. ```python for idx, val in enumerate(['a', 'b'], start=5): print(idx, val) ```"", ""enumerate(list(...)) қолданамыз. ```python data = {'a': 10, 'b': 20} for idx, (k, v) in enumerate(data.items()): print(idx, k, v) ```""]","[0.9855616092681885, 0.9447624683380127, 0.8759199380874634]","[0.90718954248366, 0.6525, 0.7133333333333334]","[0.931046429306853, 0.8698001517295837, 0.8529800466775894]","[0.8448160886764526, 0.9034001231193542, 0.8619294166564941]",0.9855616092681885,0.9071895480155945,0.9310464262962341,0.0,0.0,0.628571428570929,0.8448160886764526,0.0,1.0,0.5,0.9050298929214478,0.0,0.0,0.0,1.0,0.628571428570929,0.9855616092681885,0.5,0.9050298929214478
7708,1,ea2a2e6f5301f70f94dcd551f68217f1,Функция арқылы мәтіндегі барлық санды символдарды алып тастау мысалы.,"Мысал: ```python def san_zhok(m): return ''.join(x for x in m if not x.isdigit()) print(san_zhok(""code123"")) ```","`re.sub()` қолданып: ```python import re with open('numbers.txt', 'r') as f: text = re.sub(r'\d', '', f.read()) print(text) ```",37901,"[37901, 14375, 7799]","[""`re.sub()` қолданып: ```python import re with open('numbers.txt', 'r') as f: text = re.sub(r'\\d', '', f.read()) print(text) ```"", ""Мысал: ```python def dauyssyz(m): return ''.join(x for x in m if x.lower() not in 'аеёиоуыіүұө') print(dauyssyz(\""бағдарлама\"")) ```"", ""Мысал: ```python def кері(мәтін): return мәтін[::-1] print(кері(\""Қазақ\"")) # қазаҚ ```""]","[0.8456377983093262, 0.8108463287353516, 0.8210788369178772]","[0.7133333333333334, 0.47105263157894733, 0.32070175438596493]","[0.7983991998761892, 0.7597471627263647, 0.7499666739721047]","[0.5964198708534241, 0.7904945611953735, 0.6506185531616211]",0.8456377983093262,0.7133333086967468,0.7983992099761963,0.0,0.0,0.09302325581345376,0.5964199304580688,0.0,0.0,0.0,0.7583510279655457,0.0,0.0,0.0,0.0,0.09302325581345376,0.8456377983093262,0.0,0.7583510279655457
39262,2,ff438e18fc89c1288b1907d0c94ed87c,FileNotFoundError кезінде Google Bigtable-ден дерек алу мысалы?,google.cloud.bigtable модулін қолданамыз. ```python from google.cloud import bigtable try: open('bigtable.txt') except FileNotFoundError: client = bigtable.Client(admin=True) instance = client.instance('my-instance') table = instance.table('my-table') row = table.read_row(b'row-key') print(row) ```,"google.cloud.bigquery модулін қолданамыз. ```python from google.cloud import bigquery try: open('query.csv') except FileNotFoundError: client = bigquery.Client() rows = client.query('SELECT name FROM dataset.table LIMIT 5').result() with open('query.csv', 'w') as f: for row in rows: f.write(row.name + '\n') ```",280,"[280, 24240, 44009]","[""google.cloud.bigquery модулін қолданамыз. ```python from google.cloud import bigquery try: open('query.csv') except FileNotFoundError: client = bigquery.Client() rows = client.query('SELECT name FROM dataset.table LIMIT 5').result() with open('query.csv', 'w') as f: for row in rows: f.write(row.name + '\\n') ```"", ""websocket модулін қолданып деректер сұраймыз. ```python import websocket try: open('stream.txt') except FileNotFoundError: ws = websocket.create_connection('ws://echo.websocket.org') ws.send('Need file data') with open('stream.txt', 'w') as f: f.write(ws.recv()) ws.close() ```"", ""pymongo модулін қолданамыз. ```python from pymongo import MongoClient try: open('mongo.json') except FileNotFoundError: client = MongoClient('mongodb://localhost:27017/') db = client['test'] print(list(db['users'].find().limit(5))) ```""]","[0.7656657099723816, 0.7054279446601868, 0.6381757855415344]","[0.5403846153846155, 0.5944444444444444, 0.65625]","[0.7711329446572524, 0.7465327244897683, 0.7428279614448547]","[0.8566626310348511, 0.552138090133667, 0.5277486443519592]",0.7656657099723816,0.5403845906257629,0.7711329460144043,0.0,0.0,0.43181818181768417,0.8566626906394958,1.0,1.0,1.0,0.782602846622467,0.0,0.0,1.0,1.0,0.43181818181768417,0.7656657099723816,1.0,0.782602846622467
45771,3,f9ca3361b3e46d55f7c5097cf963eb5d,Callable арқылы сигнал-слот үлгісі: слот — callable.,"Тіркелген барлық слоттарды бір шақыруда орындау. `python class Signal: def __init__(self): self.slots=[] def connect(self, slot): self.slots.append(slot) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig = Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `","Барлық тіркелген слоттар бірінен соң бірі орындалады. `python class Signal: def __init__(self): self.slots=[] def connect(self, f): self.slots.append(f) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig=Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `",23553,"[23553, 3168, 24095]","[""Барлық тіркелген слоттар бірінен соң бірі орындалады. `python class Signal: def __init__(self): self.slots=[] def connect(self, f): self.slots.append(f) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig=Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `"", ""callable(obj) True болса, оны функция сияқты шақыруға болады. `python class Ping: def __call__(self): return 'pong' p = Ping() print(callable(p)) # True print(p()) # 'pong' `"", ""Функция параметрі callable екенін көрсетеді. `python from typing import Callable def apply(x: int, f: Callable[[int], int]) -> int: return f(x) class Inc: def __call__(self, x:int) -> int: return x+1 print(apply(5, Inc())) `""]","[0.924554169178009, 0.6958915591239929, 0.6930251121520996]","[0.2717171717171717, 0.2717171717171717, 0.2717171717171717]","[0.744196632234436, 0.6840722720604954, 0.6807278810721455]","[0.990422248840332, 0.6160162091255188, 0.6996728181838989]",0.924554169178009,0.2717171609401703,0.7441966533660889,0.0,0.0,0.8785046728966963,0.9904223084449768,1.0,1.0,1.0,0.9695311784744263,0.0,0.0,1.0,1.0,0.8785046728966963,0.924554169178009,1.0,0.9695311784744263
21886,4,a9c17af5dce3a6b770d5eb71e758edf0,Set құрамын regex арқылы табылған барлық сөздерден құру мысалы.,"re.findall() көмегімен сөздерді табамыз. ```python import re text = 'Hello world, hello Python' words = set(re.findall(r'\w+', text.lower())) print(words) ```","re.findall() көмегімен әріптерді табамыз. ```python import re text = ""Hello 123 World"" letters = set(re.findall(r'[A-Za-z]', text)) print(letters) ```",39128,"[39128, 41046, 34487]","[""re.findall() көмегімен әріптерді табамыз. ```python import re text = \""Hello 123 World\"" letters = set(re.findall(r'[A-Za-z]', text)) print(letters) ```"", ""re.findall() арқылы сандарды табамыз. ```python import re text = \""Мәтінде 123 және 456 бар\"" numbers = set(re.findall(r'\\d+', text)) print(numbers) # {'123', '456'} ```"", ""re.findall() арқылы сандарды табамыз. ```python import re text = \""id1=123, id2=456, id1=123\"" numbers = set(re.findall(r'\\d+', text)) print(numbers) # {'123', '456'} ```""]","[0.9231328964233398, 0.9279318451881409, 0.9488429427146912]","[0.7674641148325358, 0.6016042780748663, 0.5210526315789474]","[0.8673480556980845, 0.8317071430775571, 0.8146269136635881]","[0.9025385975837708, 0.7946566343307495, 0.7697493433952332]",0.9231328964233398,0.7674641013145447,0.8673480749130249,0.0,0.0,0.6956521739125434,0.9025385975837708,1.0,1.0,1.0,0.9065278172492981,0.0,0.0,1.0,1.0,0.6956521739125434,0.9231328964233398,1.0,0.9065278172492981
23779,5,c2fa966b45c4ee1af928b12b50abd109,symmetric_difference() әдісі case-sensitive ме?,"Иә, жолдық мәндерде регистр айырмашылығы ескеріледі. ```python A = {""Python"", ""java""} B = {""python"", ""Java""} print(A.symmetric_difference(B)) ```","Жоқ, symmetric_difference() жаңа жиынды қайтарады, бастапқы жиын өзгермейді. ```python s1 = {1, 2} s2 = {2, 3} res = s1.symmetric_difference(s2) print(s1) # {1, 2} ```",3218,"[3218, 1803, 21611]","[""Жоқ, symmetric_difference() жаңа жиынды қайтарады, бастапқы жиын өзгермейді. ```python s1 = {1, 2} s2 = {2, 3} res = s1.symmetric_difference(s2) print(s1) # {1, 2} ```"", ""Жоқ, бұл әдіс жаңа жиын қайтарады, бастапқы жиын өзгермейді. ```python A = {1, 2} B = {2, 3} C = A.symmetric_difference(B) print(A) # {1, 2} print(C) # {1, 3} ```"", ""difference() тек бірінші жиында бар, екіншіде жоқ элементтерді қайтарады, ал symmetric_difference() екі жақта да жоқ ортақ емес элементтерді қайтарады. ```python A = {1, 2, 3} B = {3, 4} print(A.difference(B)) # {1, 2} print(A.symmetric_difference(B)) # {1, 2, 4} ```""]","[0.8313764333724976, 0.8313764333724976, 0.8258637189865112]","[0.48857142857142855, 0.48857142857142855, 0.3025]","[0.7893523765563965, 0.7760060770273208, 0.7531965134382248]","[0.6485133171081543, 0.7700221538543701, 0.7475842237472534]",0.8313764333724976,0.488571435213089,0.7893523573875427,0.0,0.0,0.18604651162742022,0.6485133171081543,0.0,0.0,0.0,0.7408479452133179,0.0,0.0,0.0,0.0,0.18604651162742022,0.8313764333724976,0.0,0.7408479452133179
2767,6,bf261f42b8475cf46e4541b49486b6f6,tuple() және set() айырмашылығы неде?,"tuple() — ретті, өзгермейтін; set() — ретті емес, қайталанбайтын, өзгеретін жиын. ```python print(tuple([1, 2, 2])) # (1, 2, 2) print(set([1, 2, 2])) # {1, 2} ```","clear() объектіні босатады, ал set = set() жаңа объект жасайды.",16012,"[16012, 32260, 27545]","[""clear() объектіні босатады, ал set = set() жаңа объект жасайды."", ""List элементтерінің реті сақталады және қайталануы мүмкін, ал set ретсіз және қайталанбайды: ```python lst = [1, 1, 2] st = {1, 1, 2} print(lst) # [1, 1, 2] print(st) # {1, 2} ```"", ""set() — бос жиын, ал {} — бос сөздік.""]","[0.8173263072967529, 0.8417428731918335, 0.7822374105453491]","[0.7133333333333334, 0.7133333333333334, 0.5403846153846155]","[0.8278374881625175, 0.8231490741252899, 0.7983466248053771]","[0.45444682240486145, 0.7752610445022583, 0.4667859375476837]",0.8173263072967529,0.7133333086967468,0.8278374671936035,0.0,0.0,0.11764705882314015,0.4544467031955719,0.0,0.0,0.0,0.6676373481750488,0.0,0.0,0.0,0.0,0.11764705882314015,0.8173263072967529,0.0,0.6676373481750488
41599,7,19df19acf51b224c51915fedf2e1fd8b,Әдісте round-ты банк округтеуімен қолдану.,"round(…, ndigits) дәлдікпен дөңгелектейді. ```python class Price: def cents(self, v): return round(v, 2) ```","round — санды дөңгелектейді. ```python class Math: def r(self, num): return round(num, 2) print(Math().r(3.14159)) ```",36330,"[36330, 42889, 34756]","[""round — санды дөңгелектейді. ```python class Math: def r(self, num): return round(num, 2) print(Math().r(3.14159)) ```"", ""`round()` ондық мәндерді дөңгелектейді: ```python class Math: def rounded(self, number): return round(number, 2) ```"", ""Есептелген нәтижелер тізімінде index() қолдануға болады. ```python nums = [1.1, 2.5, 3.7] rounded = [round(x) for x in nums] print(rounded.index(4)) # 2 ```""]","[0.859412670135498, 0.8172907829284668, 0.7192298173904419]","[0.17063492063492064, 0.13585858585858585, 0.22999999999999998]","[0.7200976048906644, 0.7148234639456776, 0.7020965565919877]","[0.6946206092834473, 0.7769883871078491, 0.5421931743621826]",0.859412670135498,0.170634925365448,0.7200976014137268,0.0,0.0,0.5294117647053892,0.694620668888092,0.0,0.0,0.0,0.8575101494789124,0.0,0.0,0.0,0.0,0.5294117647053892,0.859412670135498,0.0,0.8575101494789124
44397,8,bfa752eff807f4d1b7c3b93606f91ce2,repr() функциясының нәтижесін файлға жазу мысалы.,"Бұл логтауға пайдалы әдіс. ```python with open('log.txt','w') as f: data = [1,2,3] f.write(repr(data)) ```","`open()` және `write()` қолданамыз: ```python with open('methods.txt', 'w') as f: f.write('\n'.join(dir(str))) ```",37230,"[37230, 20499, 29652]","[""`open()` және `write()` қолданамыз: ```python with open('methods.txt', 'w') as f: f.write('\\n'.join(dir(str))) ```"", ""Мысалы: ```python def log_and_return(func): def wrapper(*args): result = func(*args) with open(\""results.log\"", \""a\"") as f: f.write(f\""{result}\\n\"") return result return wrapper ```"", ""Файлға жазу үшін open() қолданылады: ```python def save_output(func): def wrapper(*args): result = func(*args) with open(\""output.txt\"", \""w\"") as f: f.write(str(result)) return result return wrapper ```""]","[0.8179807066917419, 0.7765421867370605, 0.7436416745185852]","[0.625974025974026, 0.39166666666666666, 0.3782051282051282]","[0.7954165579839185, 0.7556763980388641, 0.7432080761744426]","[0.737057089805603, 0.6638867855072021, 0.6563073396682739]",0.8179807066917419,0.6259739995002747,0.795416533946991,0.0,0.0,0.4736842105258172,0.7370571494102478,0.0,0.0,0.0,0.8438929915428162,0.0,0.0,0.0,0.0,0.4736842105258172,0.8179807066917419,0.0,0.8438929915428162
35337,9,08c41f87599312563b698180ae22fe41,CSV файлына бірден бірнеше жолды жазу мысалын көрсетіңіз.,"Бірнеше жолды жазу үшін `writerows()` қолданылады. ```python import csv data = [['ID', 'Өнім'], [1, 'Телефон'], [2, 'Ноутбук'], [3, 'Планшет']] with open('products.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerows(data) ```","`writerows` функциясын қолданамыз: ```python import csv data = [['Али', 25], ['Асел', 30]] with open('data.csv', 'w', newline='') as f: writer = csv.writer(f) writer.writerows(data) ```",15427,"[15427, 2503, 944]","[""`writerows` функциясын қолданамыз: ```python import csv data = [['Али', 25], ['Асел', 30]] with open('data.csv', 'w', newline='') as f: writer = csv.writer(f) writer.writerows(data) ```"", ""Бірнеше жол жазу үшін `writerows()` әдісін қолданамыз. ```python import csv data = [['Аты', 'Жасы'], ['Марат', 20], ['Алия', 22]] with open('people.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerows(data) ```"", ""Жазу кезінде цикл индексін бірге жаза аламыз. ```python import csv data = [['Аты', 'Жасы'], ['Айжан', 25], ['Бекзат', 30]] with open('numbered.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) for i, row in enumerate(data, start=1): writer.writerow([i] + row) ```""]","[0.8713185787200928, 0.9397313594818115, 0.8601248264312744]","[0.6525, 0.45999999999999996, 0.5583333333333333]","[0.840583240532875, 0.8224857318758965, 0.8177598280310631]","[0.9353694319725037, 0.9499630928039551, 0.917008638381958]",0.8713185787200928,0.6524999737739563,0.8405832648277283,0.0,0.0,0.6129032258059646,0.9353694915771484,1.0,1.0,1.0,0.8155667185783386,0.0,0.0,1.0,1.0,0.6129032258059646,0.8713185787200928,1.0,0.8155667185783386
