question_id,question_hash,test_question,gold_answer,pred_answer,pred_train_idx,top3_train_indices,top3_answers,top3_q_sims,top3_ans_cos,Exact,Top3ExactHit,TokenF1,QSim,AnsCos,SemHit,Recall3,MRR3,BERTScoreF1,BERTScoreLang,exact_femseg,top3_femseg,semantic_femseg,recall3_femseg,tokenf1_femseg,meancos_femseg,mrr3_femseg,bertscore_femseg
21361,d048b2c2b21cde6a9a76620ec11bd800,Tuple unpacking және enumerate() арқылы индекспен шығару мысалы?,"enumerate() қайтарған мәндерді unpacking арқылы бөлуге болады. ```python for idx, val in enumerate(['apple', 'banana']): print(idx, val) ```","enumerate() нәтижесін unpacking көмегімен бөлуге болады. ```python for i, val in enumerate(['a', 'b']): print(i, val) ```",16916,"[16916, 42887, 15411]","[""enumerate() нәтижесін unpacking көмегімен бөлуге болады. ```python for i, val in enumerate(['a', 'b']): print(i, val) ```"", ""enumerate() бастапқы индекс беріп, unpacking жасауға болады. ```python for idx, val in enumerate(['a', 'b'], start=5): print(idx, val) ```"", ""enumerate() арқылы индекс және мәнді unpacking көмегімен бөлу. ```python for idx, val in enumerate(['apple', 'banana']): print(idx, val) ```""]","[0.9798213243484497, 0.9609512686729431, 0.9032328724861145]","[0.8448160886764526, 0.903400182723999, 0.9801218509674072]",0.0,0.0,0.628571428570929,0.9798213243484497,0.8448160886764526,0.0,1.0,0.5,0.9050298929214478,kk,0.0,0.0,0.0,1.0,0.628571428570929,0.9798213243484497,0.5,0.9050298929214478
7708,ea2a2e6f5301f70f94dcd551f68217f1,Функция арқылы мәтіндегі барлық санды символдарды алып тастау мысалы.,"Мысал: ```python def san_zhok(m): return ''.join(x for x in m if not x.isdigit()) print(san_zhok(""code123"")) ```","Мысал: ```python def dauyssyz(m): return ''.join(x for x in m if x.lower() not in 'аеёиоуыіүұө') print(dauyssyz(""бағдарлама"")) ```",14375,"[14375, 34774, 12687]","[""Мысал: ```python def dauyssyz(m): return ''.join(x for x in m if x.lower() not in 'аеёиоуыіүұө') print(dauyssyz(\""бағдарлама\"")) ```"", ""Мысал код: ```python text = \""Python while циклі\"" words = text.split() i = 0 while i < len(words): print(words[i], \""-\"", len(words[i]), \""әріп\"") i += 1 ```"", ""Мысал: ```python def dauyssyz(metin): return ''.join([x for x in metin if x.lower() not in 'аеёиоуыіүұө']) print(dauyssyz(\""Бағдарлама\"")) ```""]","[0.9738959074020386, 0.9580527544021606, 0.9577813744544983]","[0.7904945611953735, 0.5557874441146851, 0.7230652570724487]",0.0,0.0,0.6976744186041514,0.9738959074020386,0.7904945611953735,0.0,0.0,0.0,0.8514204621315002,kk,0.0,0.0,0.0,0.0,0.6976744186041514,0.9738959074020386,0.0,0.8514204621315002
39262,ff438e18fc89c1288b1907d0c94ed87c,FileNotFoundError кезінде Google Bigtable-ден дерек алу мысалы?,google.cloud.bigtable модулін қолданамыз. ```python from google.cloud import bigtable try: open('bigtable.txt') except FileNotFoundError: client = bigtable.Client(admin=True) instance = client.instance('my-instance') table = instance.table('my-table') row = table.read_row(b'row-key') print(row) ```,"google.cloud.bigquery модулін қолданамыз. ```python from google.cloud import bigquery try: open('query.csv') except FileNotFoundError: client = bigquery.Client() rows = client.query('SELECT name FROM dataset.table LIMIT 5').result() with open('query.csv', 'w') as f: for row in rows: f.write(row.name + '\n') ```",280,"[280, 294, 16528]","[""google.cloud.bigquery модулін қолданамыз. ```python from google.cloud import bigquery try: open('query.csv') except FileNotFoundError: client = bigquery.Client() rows = client.query('SELECT name FROM dataset.table LIMIT 5').result() with open('query.csv', 'w') as f: for row in rows: f.write(row.name + '\\n') ```"", ""google.cloud.storage модулін қолданамыз. ```python from google.cloud import storage try: open('raw_data.txt') except FileNotFoundError: client = storage.Client() bucket = client.bucket('data-bucket') blob = bucket.blob('raw_data.txt') content = blob.download_as_text() with open('raw_data.txt', 'w') as f: f.write(content.upper()) ```"", ""google.cloud.storage модулін қолданамыз. ```python from google.cloud import storage try: open('image.png') except FileNotFoundError: client = storage.Client() bucket = client.bucket('mybucket') blob = bucket.blob('image.png') blob.download_to_filename('image.png') ```""]","[0.8037280440330505, 0.7391157150268555, 0.7370316386222839]","[0.8566626310348511, 0.6464095115661621, 0.6164416074752808]",0.0,0.0,0.43181818181768417,0.8037280440330505,0.8566626906394958,1.0,1.0,1.0,0.782602846622467,kk,0.0,0.0,1.0,1.0,0.43181818181768417,0.8037280440330505,1.0,0.782602846622467
45771,f9ca3361b3e46d55f7c5097cf963eb5d,Callable арқылы сигнал-слот үлгісі: слот — callable.,"Тіркелген барлық слоттарды бір шақыруда орындау. `python class Signal: def __init__(self): self.slots=[] def connect(self, slot): self.slots.append(slot) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig = Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `","Барлық тіркелген слоттар бірінен соң бірі орындалады. `python class Signal: def __init__(self): self.slots=[] def connect(self, f): self.slots.append(f) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig=Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `",23553,"[23553, 12899, 11139]","[""Барлық тіркелген слоттар бірінен соң бірі орындалады. `python class Signal: def __init__(self): self.slots=[] def connect(self, f): self.slots.append(f) def __call__(self, *a, **k): return [s(*a, **k) for s in self.slots] sig=Signal(); sig.connect(lambda x:x+1); sig.connect(lambda x:x*2) print(sig(3)) `"", ""Слоттарды өшіру. `python class Signal: def __init__(self): self.s=[] def connect(self,f): self.s.append(f) def detach(self,f): self.s.remove(f) def __call__(self, x): return [h(x) for h in list(self.s)] sig=Signal(); fn=lambda x:x+1; sig.connect(fn); print(sig(1)); sig.detach(fn) `"", ""Иә, тек **call** әдісін анықтасаңыз жеткілікті. `python class S: __slots__ = ('k',) def __init__(self, k): self.k=k def __call__(self, x): return x*self.k print(S(4)(3)) `""]","[0.9201408624649048, 0.7923907041549683, 0.7756807208061218]","[0.9904223084449768, 0.8939536809921265, 0.8428409099578857]",0.0,0.0,0.8785046728966963,0.9201408624649048,0.9904223084449768,1.0,1.0,1.0,0.9695311784744263,kk,0.0,0.0,1.0,1.0,0.8785046728966963,0.9201408624649048,1.0,0.9695311784744263
21886,a9c17af5dce3a6b770d5eb71e758edf0,Set құрамын regex арқылы табылған барлық сөздерден құру мысалы.,"re.findall() көмегімен сөздерді табамыз. ```python import re text = 'Hello world, hello Python' words = set(re.findall(r'\w+', text.lower())) print(words) ```","re.findall() көмегімен әріптерді табамыз. ```python import re text = ""Hello 123 World"" letters = set(re.findall(r'[A-Za-z]', text)) print(letters) ```",39128,"[39128, 41046, 34487]","[""re.findall() көмегімен әріптерді табамыз. ```python import re text = \""Hello 123 World\"" letters = set(re.findall(r'[A-Za-z]', text)) print(letters) ```"", ""re.findall() арқылы сандарды табамыз. ```python import re text = \""Мәтінде 123 және 456 бар\"" numbers = set(re.findall(r'\\d+', text)) print(numbers) # {'123', '456'} ```"", ""re.findall() арқылы сандарды табамыз. ```python import re text = \""id1=123, id2=456, id1=123\"" numbers = set(re.findall(r'\\d+', text)) print(numbers) # {'123', '456'} ```""]","[0.9278087019920349, 0.9242541193962097, 0.9162098169326782]","[0.902538537979126, 0.7946568727493286, 0.7697494029998779]",0.0,0.0,0.6956521739125434,0.9278087019920349,0.9025384783744812,1.0,1.0,1.0,0.9065278172492981,kk,0.0,0.0,1.0,1.0,0.6956521739125434,0.9278087019920349,1.0,0.9065278172492981
23779,c2fa966b45c4ee1af928b12b50abd109,symmetric_difference() әдісі case-sensitive ме?,"Иә, жолдық мәндерде регистр айырмашылығы ескеріледі. ```python A = {""Python"", ""java""} B = {""python"", ""Java""} print(A.symmetric_difference(B)) ```","Жоқ, бұл әдіс жаңа жиын қайтарады, бастапқы жиын өзгермейді. ```python A = {1, 2} B = {2, 3} C = A.symmetric_difference(B) print(A) # {1, 2} print(C) # {1, 3} ```",1803,"[3218, 1803, 34395]","[""Жоқ, symmetric_difference() жаңа жиынды қайтарады, бастапқы жиын өзгермейді. ```python s1 = {1, 2} s2 = {2, 3} res = s1.symmetric_difference(s2) print(s1) # {1, 2} ```"", ""Жоқ, бұл әдіс жаңа жиын қайтарады, бастапқы жиын өзгермейді. ```python A = {1, 2} B = {2, 3} C = A.symmetric_difference(B) print(A) # {1, 2} print(C) # {1, 3} ```"", ""Жоқ, бірақ тізімді set түріне түрлендіріп қолдануға болады. ```python list1 = [1, 2, 3] list2 = [3, 4, 5] print(set(list1).symmetric_difference(set(list2))) # {1, 2, 4, 5} ```""]","[0.8302293419837952, 0.8302293419837952, 0.8276911377906799]","[0.6485133171081543, 0.7700222134590149, 0.6876904964447021]",0.0,0.0,0.340425531914421,0.8302293419837952,0.7700222134590149,0.0,0.0,0.0,0.7504642009735107,kk,0.0,0.0,0.0,0.0,0.340425531914421,0.8302293419837952,0.0,0.7504642009735107
2767,bf261f42b8475cf46e4541b49486b6f6,tuple() және set() айырмашылығы неде?,"tuple() — ретті, өзгермейтін; set() — ретті емес, қайталанбайтын, өзгеретін жиын. ```python print(tuple([1, 2, 2])) # (1, 2, 2) print(set([1, 2, 2])) # {1, 2} ```","set ретті емес, сондықтан кортеж реттілігі де кепілденбейді. ```python s = {4, 2, 3} t = tuple(s) print(t) ```",5413,"[5413, 4056, 28226]","[""set ретті емес, сондықтан кортеж реттілігі де кепілденбейді. ```python s = {4, 2, 3} t = tuple(s) print(t) ```"", ""list() — реттелген, қайталанатын мәндер болуы мүмкін; set() — қайталанбайды, реттілігі жоқ. ```python s = \""aab\"" print(list(s)) # ['a', 'a', 'b'] print(list(set(s))) # ['a', 'b'] (ретсіз) ```"", ""list() — өзгеретін, tuple() — өзгермейтін контейнер. ```python l = [1, 2] t = tuple(l) print(type(t)) # <class 'tuple'> ```""]","[0.8922247290611267, 0.8050009608268738, 0.7788494229316711]","[0.7790449857711792, 0.7589536905288696, 0.8420372605323792]",0.0,0.0,0.3255813953483505,0.8922247290611267,0.7790449261665344,0.0,0.0,0.0,0.7564136385917664,kk,0.0,0.0,0.0,0.0,0.3255813953483505,0.8922247290611267,0.0,0.7564136385917664
41599,19df19acf51b224c51915fedf2e1fd8b,Әдісте round-ты банк округтеуімен қолдану.,"round(…, ndigits) дәлдікпен дөңгелектейді. ```python class Price: def cents(self, v): return round(v, 2) ```","```python rates = [470.4567, 380.1234, 510.9876] print([round(r, 2) for r in rates]) ```",33630,"[33630, 1570, 29263]","[""```python rates = [470.4567, 380.1234, 510.9876] print([round(r, 2) for r in rates]) ```"", ""```python payments = [1250, 3425, 7890] print([round(p, -2) for p in payments]) ```"", ""```python tax_rates = [0.1755, 0.2044, 0.1988] print([round(t*100, 2) for t in tax_rates]) ```""]","[0.8053999543190002, 0.7992093563079834, 0.782534658908844]","[0.5067093372344971, 0.6206669807434082, 0.5475743412971497]",0.0,0.0,0.19354838709627475,0.8053999543190002,0.5067093372344971,0.0,0.0,0.0,0.7390409708023071,kk,0.0,0.0,0.0,0.0,0.19354838709627475,0.8053999543190002,0.0,0.7390409708023071
44397,bfa752eff807f4d1b7c3b93606f91ce2,repr() функциясының нәтижесін файлға жазу мысалы.,"Бұл логтауға пайдалы әдіс. ```python with open('log.txt','w') as f: data = [1,2,3] f.write(repr(data)) ```","repr(obj) объекттің **repr** нәтижесін қайтарады. Бұл логқа жазу мен диагностикаға пайдалы. `python nums = [1, 2, 3] print(repr(nums)) # '[1, 2, 3]' `",30344,"[30344, 17391, 40367]","[""repr(obj) объекттің **repr** нәтижесін қайтарады. Бұл логқа жазу мен диагностикаға пайдалы. `python nums = [1, 2, 3] print(repr(nums)) # '[1, 2, 3]' `"", ""repr функциясы объектінің ресми жолдық көрінісін қайтарады. Ақпарат алу үшін: ```python help(repr) ```"", ""repr() техникалық формат, print() адамға арналған. ```python text = \""Hello\"" print(print(text)) # Hello print(repr(text)) # 'Hello' ```""]","[0.8473238348960876, 0.8138813972473145, 0.8008695244789124]","[0.6549279689788818, 0.48235011100769043, 0.5643138885498047]",0.0,0.0,0.32558139534833963,0.8473238348960876,0.6549279093742371,0.0,0.0,0.0,0.769426167011261,kk,0.0,0.0,0.0,0.0,0.32558139534833963,0.8473238348960876,0.0,0.769426167011261
35337,08c41f87599312563b698180ae22fe41,CSV файлына бірден бірнеше жолды жазу мысалын көрсетіңіз.,"Бірнеше жолды жазу үшін `writerows()` қолданылады. ```python import csv data = [['ID', 'Өнім'], [1, 'Телефон'], [2, 'Ноутбук'], [3, 'Планшет']] with open('products.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerows(data) ```","Бір жолды жазу үшін `writerow()` әдісін қолданамыз. ```python import csv with open('employees.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerow(['Аты', 'Лауазымы']) writer.writerow(['Айгүл', 'Бухгалтер']) ```",8400,"[8400, 35467, 11477]","[""Бір жолды жазу үшін `writerow()` әдісін қолданамыз. ```python import csv with open('employees.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerow(['Аты', 'Лауазымы']) writer.writerow(['Айгүл', 'Бухгалтер']) ```"", ""Сандарды жеке жолдармен жаза аламыз. ```python import csv data = [[1], [2], [3]] with open('numbers_list.csv', 'w', newline='', encoding='utf-8') as f: writer = csv.writer(f) writer.writerows(data) ```"", ""csv.writer көмегімен жазуға болады: ```python import csv t = (1, 2, 3) with open('data.csv', 'w', newline='') as f: writer = csv.writer(f) writer.writerow(t) ```""]","[0.9347069263458252, 0.9308012127876282, 0.9007335901260376]","[0.8956345319747925, 0.954134464263916, 0.9100136756896973]",0.0,0.0,0.6086956521734139,0.9347069263458252,0.8956345319747925,1.0,1.0,1.0,0.8642029166221619,kk,0.0,0.0,1.0,1.0,0.6086956521734139,0.9347069263458252,1.0,0.8642029166221619
